State,District,Vegetable Name,Unit,Market Price,Retail Price (Min),Retail Price (Max),Shopping Mall Price (Min),Shopping Mall Price (Max)
Andaman and Nicobar,Car Nicobar,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Andaman and Nicobar,Car Nicobar,Amla,Kg / Pcs, 70, 81 , 89,84 , 116
Andaman and Nicobar,Car Nicobar,Ash gourd,Kg / Pcs, 17, 20 , 22,20 , 28
Andaman and Nicobar,Car Nicobar,Baby corn,Kg / Pcs, 67, 77 , 85,80 , 111
Andaman and Nicobar,Car Nicobar,Banana flower,Kg / Pcs, 20, 23 , 25,24 , 33
Andaman and Nicobar,Car Nicobar,Beetroot,Kg / Pcs, 30, 35 , 38,36 , 50
Andaman and Nicobar,Car Nicobar,Bell Pepper (Capsicum),Kg / Pcs, 41, 47 , 52,49 , 68
Andaman and Nicobar,Car Nicobar,Bitter gourd,Kg / Pcs, 34, 39 , 43,41 , 56
Andaman and Nicobar,Car Nicobar,Bottlegourd,Kg / Pcs, 23, 26 , 29,28 , 38
Andaman and Nicobar,Car Nicobar,Butter beans,Kg / Pcs, 46, 53 , 58,55 , 76
Andaman and Nicobar,Car Nicobar,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 47, 54 , 60,56 , 78
Andaman and Nicobar,Car Nicobar,Cabbage,Kg / Pcs, 19, 22 , 24,23 , 31
Andaman and Nicobar,Car Nicobar,Carrot,Kg / Pcs, 31, 36 , 39,37 , 51
Andaman and Nicobar,Car Nicobar,Cauliflower,Kg / Pcs, 25, 29 , 32,30 , 41
Andaman and Nicobar,Car Nicobar,Cluster beans,Kg / Pcs, 45, 52 , 57,54 , 74
Andaman and Nicobar,Car Nicobar,Coconut (fresh),Kg / Pcs, 34, 39 , 43,41 , 56
Andaman and Nicobar,Car Nicobar,Colocasia leaves (Taro leaves),Kg / Pcs, 16, 18 , 20,19 , 26
Andaman and Nicobar,Car Nicobar,Colocasia roots (Taro roots),Kg / Pcs, 27, 31 , 34,32 , 45
Andaman and Nicobar,Car Nicobar,Coriander leaves (Cilantro),Kg / Pcs, 8, 9 , 10,10 , 13
Andaman and Nicobar,Car Nicobar,Corn,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Car Nicobar,Cucumber,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Car Nicobar,Curry leaves,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Car Nicobar,Dill leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Andaman and Nicobar,Car Nicobar,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Andaman and Nicobar,Car Nicobar,Eggplant (Brinjal or Aubergine),Kg / Pcs, 27, 31 , 34,32 , 45
Andaman and Nicobar,Car Nicobar,Brinjal ( Big ),Kg / Pcs, 26, 30 , 33,31 , 43
Andaman and Nicobar,Car Nicobar,Elephant Yam,Kg / Pcs, 30, 35 , 38,36 , 50
Andaman and Nicobar,Car Nicobar,Fenugreek leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Andaman and Nicobar,Car Nicobar,French Beans (Green beans),Kg / Pcs, 56, 64 , 71,67 , 92
Andaman and Nicobar,Car Nicobar,Garlic,Kg / Pcs, 130, 150 , 165,156 , 215
Andaman and Nicobar,Car Nicobar,Ginger,Kg / Pcs, 95, 109 , 121,114 , 157
Andaman and Nicobar,Car Nicobar,Green chili,Kg / Pcs, 50, 58 , 64,60 , 83
Andaman and Nicobar,Car Nicobar,Green onion (Scallian or Spring onion),Kg / Pcs, 38, 44 , 48,46 , 63
Andaman and Nicobar,Car Nicobar,Green peas,Kg / Pcs, 82, 94 , 104,98 , 135
Andaman and Nicobar,Car Nicobar,Ivy gourd,Kg / Pcs, 24, 28 , 30,29 , 40
Andaman and Nicobar,Car Nicobar,Lemon (Lime),Kg / Pcs, 69, 79 , 88,83 , 114
Andaman and Nicobar,Car Nicobar,Mango,Kg / Pcs, 70, 81 , 89,84 , 116
Andaman and Nicobar,Car Nicobar,Mint leaves,Kg / Pcs, 6, 7 , 8,7 , 10
Andaman and Nicobar,Car Nicobar,Mushroom,Kg / Pcs, 92, 106 , 117,110 , 152
Andaman and Nicobar,Car Nicobar,Mustard leaves,Kg / Pcs, 14, 16 , 18,17 , 23
